umbral,falsos_abstencion,falsos_abstencion_pct,falsos_respuesta,falsos_respuesta_pct,errores_totales
0.7,0,0.0,10,100.0,10
0.72,0,0.0,10,100.0,10
0.74,0,0.0,10,100.0,10
0.76,0,0.0,10,100.0,10
0.78,0,0.0,8,80.0,8
0.8,0,0.0,7,70.0,7
0.82,0,0.0,7,70.0,7
0.84,0,0.0,7,70.0,7
0.86,1,5.6,4,40.0,5
0.88,9,50.0,0,0.0,9
0.9,15,83.3,0,0.0,15
